Sample	SRA	BioProject	Location	Location_short	Latitude	Longitude	Plant	Organ material	Year	Season	Species
S69	SRR25433204	PRJNA998468	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Vineyard Makarevich (M, M-dm, Ad, Muk)	43.718600	132.11040	Muk	Leaf	2022	Summer	V. riparia × V. vinifera cv. Mukuzani 
S70	SRR25433203	PRJNA998468	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Vineyard Makarevich (M, M-dm, Ad, Muk)	43.718600	132.11040	Muk	Leaf	2022	Summer	V. riparia × V. vinifera cv. Mukuzani 
S71	SRR25433202	PRJNA998468	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Vineyard Makarevich (M, M-dm, Ad, Muk)	43.718600	132.11040	Muk	Stem	2022	Summer	V. riparia × V. vinifera cv. Mukuzani 
S72	SRR25433201	PRJNA998468	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Vineyard Makarevich (M, M-dm, Ad, Muk)	43.718600	132.11040	Muk	Stem	2022	Summer	V. riparia × V. vinifera cv. Mukuzani 
S73	SRR25433200	PRJNA998468	The commercial vineyard «PrimOrganica» (44.218073, 132.475822)	Vineyard PRIM ORGANICA (Alfa, Pr-St)	44.218073	132.475822	Alfa	Leaf	2022	Summer	V. labrusca × V. riparia cv. Alfa
S74	SRR25433199	PRJNA998468	The commercial vineyard «PrimOrganica» (44.218073, 132.475822)	Vineyard PRIM ORGANICA (Alfa, Pr-St)	44.218073	132.475822	Alfa	Leaf	2022	Summer	V. labrusca × V. riparia cv. Alfa
S75	SRR25433228	PRJNA998468	The commercial vineyard «PrimOrganica» (44.218073, 132.475822)	Vineyard PRIM ORGANICA (Alfa, Pr-St)	44.218073	132.475822	Alfa	Stem	2022	Summer	V. labrusca × V. riparia cv. Alfa
S76	SRR25433227	PRJNA998468	The commercial vineyard «PrimOrganica» (44.218073, 132.475822)	Vineyard PRIM ORGANICA (Alfa, Pr-St)	44.218073	132.475822	Alfa	Stem	2022	Summer	V. labrusca × V. riparia cv. Alfa
S77	SRR25433226	PRJNA998468	The commercial vineyard «PrimOrganica» (44.218073, 132.475822)	Vineyard PRIM ORGANICA (Alfa, Pr-St)	44.218073	132.475822	Pr-St	Leaf	2022	Summer	Vitis Elmer Swenson 2-7-13 cv. Prairie Star 
S78	SRR25433225	PRJNA998468	The commercial vineyard «PrimOrganica» (44.218073, 132.475822)	Vineyard PRIM ORGANICA (Alfa, Pr-St)	44.218073	132.475822	Pr-St	Leaf	2022	Summer	Vitis Elmer Swenson 2-7-13 cv. Prairie Star 
S79	SRR25433224	PRJNA998468	The commercial vineyard «PrimOrganica» (44.218073, 132.475822)	Vineyard PRIM ORGANICA (Alfa, Pr-St)	44.218073	132.475822	Pr-St	Stem	2022	Summer	Vitis Elmer Swenson 2-7-13 cv. Prairie Star 
S80	SRR25433223	PRJNA998468	The commercial vineyard «PrimOrganica» (44.218073, 132.475822)	Vineyard PRIM ORGANICA (Alfa, Pr-St)	44.218073	132.475822	Pr-St	Stem	2022	Summer	Vitis Elmer Swenson 2-7-13 cv. Prairie Star 
